dataset,missingness,method,MinMAE,AvgMAE,PercentBias,CoverageRate,W_train,W_test,MeanVariance,MeanMAD,MedianMAD,R2_imp,F1_imp,time,R2_lin,F1_lin,R2_linboost,F1_linboost,R2_tree,F1_tree,R2_treeboost,F1_treeboost
connectionist_bench_sonar,MCAR(0.2),MissForest,0.08109102038,0.08665044552,0,0,1.040790203,8.373539653,0.0003147467985,5.40E-02,0.04948863001,0,0.7989143325,343.4518813,0,0.6799596302,0,0.8522464235,0,0.8310408304,0,0.8324104461
connectionist_bench_sonar,MCAR(0.2),miceforest,0.07784754586,0.09262962484,0,0,1.112833326,8.41481927,0.002183347492,0.1697231013,0.1549346414,0,0.8114963096,2163.185472,0,0.7440098676,0,0.8417359615,0,0.8278226774,0,0.8324167318
connectionist_bench_sonar,MCAR(0.2),ice,0.1032270826,0.1350353401,0,0,1.62250324,8.771376297,1.41E-02,4.65E-01,0.430228304,0,0.8006814278,14.57604758,0,0.7259674676,0,0.8244117001,0,0.821387012,0,0.8309595315
connectionist_bench_sonar,MCAR(0.2),OT,0.09783116231,0.1202683889,0,0,1.444582949,8.492449425,6.37E-03,2.33E-01,0.2132255269,0,8.04E-01,380.2452658,0,0.7508826882,0,0.840614654,0,0.8284857895,0,0.7979630145
connectionist_bench_sonar,MCAR(0.2),softimpute,0.09109937839,0.09109937839,0,0,1.094731751,8.351240572,3.12E-34,1.53E-16,0,0,0.7936125338,2.96E+01,0,0.6810713118,0,0.8535304291,0,0.8229983927,0,0.8168500015
connectionist_bench_sonar,MCAR(0.2),GAIN,0.2049853884,0.2055865502,0,0,2.467964183,9.401353487,2.44E-06,5.13E-03,0.004773189222,0,0.7793474423,2.38E+01,0,0.7070640094,0,0.8111970406,0,0.8040539614,0,0.7950747579
ionosphere,MCAR(0.2),oracle,0,0,0,0,0,4.417807475,8.52E-34,2.23E-16,0,0,0.9129495335,5.56E-06,0,0.8506690212,0,0.9387153881,0,0.9399530096,0,0.922460715
ionosphere,MCAR(0.2),KNN(n_neighbors=1),0.1147075467,0.1147075467,0,0,0.7617813823,4.348497706,1.12E-33,2.36E-16,0,0,0.9109139976,0.02546230952,0,0.8546399607,0,0.9285164367,0,0.9421678724,0,0.9183317208
ionosphere,MCAR(0.2),MissForest,0.09853594629,0.1078070391,0,0,0.7160471712,4.335254526,0.0008013537631,0.06606705027,0.06037841739,0,0.9014387425,201.7074285,0,0.8381150837,0,0.9032025689,0,0.9404842914,0,0.9239530258
ionosphere,MCAR(0.2),miceforest,0.09490463222,0.1223514028,0,0,0.8125843432,4.417580749,0.005347293713,0.2384036107,0.2120643052,0,0.9047890812,147.24509,0,0.8457969198,0,0.9144853044,0,0.9360964735,0,0.9227776272
ionosphere,MCAR(0.2),ice,0.1322969553,0.1844551801,0,0,1.22533864,4.710465973,0.02122808359,5.56E-01,0.5102189852,0,0.8940262167,4.936282237,0,0.8346874909,0,0.8966801825,0,0.9332176381,0,0.9115195552
ionosphere,MCAR(0.2),OT,0.1051422744,0.1173402162,0,0,0.7795672921,4.371648716,0.0009339928163,0.08991413217,0.08276455541,0,0.9049358353,315.1876522,0,0.8495371217,0,0.9137351675,0,0.9417802287,0,0.9146908234
ionosphere,MCAR(0.2),softimpute,0.1420632967,0.1420632967,0,0,0.9438417569,4.436460325,9.04E-34,2.30E-16,0,0,0.8980545708,18.62288729,0,0.8427904782,0,0.8976074632,0,0.9331569789,0,0.9186633628
ionosphere,MCAR(0.2),GAIN,0.1558057915,0.1568371052,0,0,1.041555471,4.545378049,4.04E-06,7.05E-03,0.006545106389,0,9.04E-01,16.57572373,0,0.8292844283,0,0.9263807669,0,0.9417518679,0,0.9169788677
qsar_biodegradation,MCAR(0.2),oracle,0,0,0,0,0,1.37611821,1.26E-34,4.79E-17,0,0,0.8512666078,5.32E-06,0,0.8555204561,0,0.8302144943,0,0.8621689851,0,0.8571624959
